"name","iso3c"
"Australia","AUS"
"Austria","AUT"
"Belgium","BEL"
"Canada","CAN"
"Czech Republic","CZE"
"Denmark","DNK"
"European Union","EUE"
"Finland","FIN"
"France","FRA"
"Germany","DEU"
"Greece","GRC"
"Hungary","HUN"
"Iceland","ISL"
"Ireland","IRL"
"Italy","ITA"
"Japan","JPN"
"Korea","KOR"
"Luxembourg","LUX"
"The Netherlands","NLD"
"New Zealand","NZL"
"Norway","NOR"
"Poland","POL"
"Portugal","PRT"
"Slovak Republic","SVK"
"Slovenia","SVN"
"Spain","ESP"
"Sweden","SWE"
"Switzerland","CHE"
"United Kingdom","GBR"
"United States","USA"
