income,code,country,2013
Low income,AFG,Afghanistan,260
Low income,BEN,Benin,613
Low income,BFA,Burkina Faso,266
Low income,CAF,Central African Republic,99
Low income,ETH,Ethiopia,156
Low income,GIN,Guinea,531
Low income,GMB,Gambia,146
Low income,GNB,Guinea-Bissau,304
Low income,HTI,Haiti,161
Low income,LBR,Liberia,72
Low income,MDG,Madagascar,224
Low income,MLI,Mali,266
Low income,MOZ,Mozambique,154
Low income,MWI,Malawi,764
Low income,NER,Niger,488
Low income,NPL,Nepal,326
Low income,PRK,Democratic People's Republic of Korea,145
Low income,RWA,Rwanda,151
Low income,SEN,Senegal,119
Low income,SLE,Sierra Leone,1064
Low income,TCD,Chad,239
Low income,TGO,Togo,346
Low income,TZA,United Republic of Tanzania,272
Low income,UGA,Uganda,120
Low income,ZWE,Zimbabwe,69
Lower middle income,ARM,Armenia,170
Lower middle income,BGD,Bangladesh,151
Lower middle income,BOL,Bolivia (Plurinational State of),131
Lower middle income,CIV,C™te d'Ivoire,316
Lower middle income,CMR,Cameroon,645
Lower middle income,COG,Congo,160
Lower middle income,CPV,Cabo Verde,90
Lower middle income,DJI,Djibouti,50
Lower middle income,EGY,Egypt,452
Lower middle income,GHA,Ghana,908
Lower middle income,GTM,Guatemala,176
Lower middle income,HND,Honduras,130
Lower middle income,IDN,Indonesia,265
Lower middle income,IND,India,145
Lower middle income,KEN,Kenya,97
Lower middle income,KGZ,Kyrgyzstan,87
Lower middle income,KHM,Cambodia,831
Lower middle income,KIR,Kiribati,0
Lower middle income,LAO,Lao People's Democratic Republic,277
Lower middle income,LKA,Sri Lanka,118
Lower middle income,LSO,Lesotho,145
Lower middle income,MAR,Morocco,319
Lower middle income,MDA,Republic of Moldova,403
Lower middle income,MMR,Myanmar,203
Lower middle income,MNG,Mongolia,62
Lower middle income,MRT,Mauritania,105
Lower middle income,NGA,Nigeria,366
Lower middle income,NIC,Nicaragua,315
Lower middle income,PAK,Pakistan,97
Lower middle income,PHL,Philippines,89
Lower middle income,SDN,Sudan,54
Lower middle income,SLB,Solomon Islands,37
Lower middle income,SLV,El Salvador,144
Lower middle income,STP,Sao Tome and Principe,112
Lower middle income,SWZ,Swaziland,181
Lower middle income,TJK,Tajikistan,127
Lower middle income,TLS,Timor-Leste,52
Lower middle income,TUN,Tunisia,220
Lower middle income,UKR,Ukraine,389
Lower middle income,UZB,Uzbekistan,46
Lower middle income,VNM,Viet Nam,362
Lower middle income,VUT,Vanuatu,393
Lower middle income,WSM,Samoa,167
Lower middle income,YEM,Yemen,59
Lower middle income,ZMB,Zambia,83
Upper middle income,AGO,Angola,644
Upper middle income,ALB,Albania,322
Upper middle income,ARG,Argentina,304
Upper middle income,AZE,Azerbaijan,79
Upper middle income,BGR,Bulgaria,973
Upper middle income,BIH,Bosnia and Herzegovina,284
Upper middle income,BLR,Belarus,246
Upper middle income,BLZ,Belize,228
Upper middle income,BRA,Brazil,722
Upper middle income,BWA,Botswana,132
Upper middle income,CHN,China,189
Upper middle income,COL,Colombia,96
Upper middle income,CRI,Costa Rica,279
Upper middle income,CUB,Cuba,165
Upper middle income,DMA,Dominica,484
Upper middle income,DOM,Dominican Republic,127
Upper middle income,DZA,Algeria,319
Upper middle income,ECU,Ecuador,94
Upper middle income,FJI,Fiji,52
Upper middle income,GAB,Gabon,405
Upper middle income,GEO,Georgia,79
Upper middle income,GRD,Grenada,121
Upper middle income,GUY,Guyana,469
Upper middle income,IRN,Iran (Islamic Republic of),192
Upper middle income,IRQ,Iraq,227
Upper middle income,JAM,Jamaica,78
Upper middle income,JOR,Jordan,169
Upper middle income,KAZ,Kazakhstan,545
Upper middle income,LBN,Lebanon,115
Upper middle income,LCA,Saint Lucia,225
Upper middle income,MDV,Maldives,0
Upper middle income,MEX,Mexico,259
Upper middle income,MKD,The former Yugoslav Republic of Macedonia,266
Upper middle income,MNE,Montenegro,98
Upper middle income,MUS,Mauritius,25
Upper middle income,MYS,Malaysia,200
Upper middle income,NAM,Namibia,171
Upper middle income,PAN,Panama,60
Upper middle income,PER,Peru,406
