country,Protected areas,Policy and legislation,Law enforcement,Communications and awareness,Promoting sustainable use and alternative livelihoods,Research and assessment
Tanzania,48390.88927,4793.675886,19833.10613,3556.865644,29075.3164,3471.029282
Democratic Republic of Congo ,45946.21615,6090.782526,3441.434489,2146.14462,12140.12384,2738.272315
Mozambique,34674.76498,4587.77496,12982.71774,0,8573.5255,719.11756
Gabon,25061.01646,1770.777488,8842.569176,915.2755385,1871.403377,5050.2797
Bangladesh,24039.90234,5415.679335,4500.375,2100.375,1301.79864,3913.81443
China,31159.73857,1069.767,1371.7383,5494.826357,438.6406959,243.8985
Madagascar,23055.3,1135.724,5807.846717,893.048,6663.948,1500.4
Indonesia,21918.37972,4586.7997,8273.525119,462.81906,1968.89653,861.03871
Lao People's Democratic Republic,15596.6285,2915.369027,5683.6217,1229.0916,10847.5376,1357.3319
Republic of Namibia,14808.9352,1083.6,5744.851,353.68275,4760.22925,304.6408
Republic of Congo,13538.18332,1646.17568,6369.0023,981.0022,1661.25654,2460.4253
Vietnam,10320.60995,3968.833298,3734.247898,4994.833339,779.14115,278.2778
Cameroon,9384.18137,1234.996703,4173.895838,573.5108096,6761.044749,71.84587
Kenya,7988.42801,1686.157602,8615.686011,38.8453,3011.25008,188.11085
Zambia,8969.41672,971.70201,3518.59053,1901.2415,5695.73974,14.088
India,13688.88637,60.57063,1592.15097,974.6063709,2976.32443,1484.031571
Cote d'Ivoire,8383.55081,2021.95081,4,274.575,7675.627024,1289.550405
Myanmar,11339.55388,1971.852435,3456.7455,815.8370175,1745.601188,301.545335
South Africa,5564.50151,16.06503,5191.54851,1262.33002,2705.927625,4234.6101
