"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","GHECAUSES (CODE)","GHECAUSES (DISPLAY)","GHECAUSES (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","","","","","","","81","80.94055","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AND","Andorra","","","","","","","","27","27.49487","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AUT","Austria","","","","","","","","15","15.34121","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BHS","Bahamas","","","","","","","","15","15.36821","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BLZ","Belize","","","","","","","","21","21.39477","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","BTN","Bhutan","","","","","","","","26","25.83550","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BGR","Bulgaria","","","","","","","","55","54.90030","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","KHM","Cambodia","","","","","","","","20","19.78436","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CHL","Chile","","","","","","","","13","12.89012","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","COL","Colombia","","","","","","","","14","13.86973","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","CUB","Cuba","","","","","","","","23","23.13763","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","CZE","Czechia","","","","","","","","58","57.93766","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","DMA","Dominica","","","","","","","","16","16.18224","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","EGY","Egypt","","","","","","","","51","50.81771","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","FJI","Fiji","","","","","","","","0","0.31858","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","FRA","France","","","","","","","","17","17.23305","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","GRC","Greece","","","","","","","","19","18.64520","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","GTM","Guatemala","","","","","","","","13","12.88430","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","HUN","Hungary","","","","","","","","42","41.57758","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","IDN","Indonesia","","","","","","","","25","24.91242","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","JAM","Jamaica","","","","","","","","22","22.15265","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","JOR","Jordan","","","","","","","","21","21.20774","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","","","","","","","52","51.54859","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","LBN","Lebanon","","","","","","","","29","29.11329","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","LSO","Lesotho","","","","","","","","19","18.83050","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","MDG","Madagascar","","","","","","","","39","39.24401","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AFR","Africa","","MWI","Malawi","","","","","","","","35","35.26564","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","MDV","Maldives","","","","","","","","14","14.04467","","","","",""
"AIR_50","Ambient air pollution attributable deaths (per 100 000, age-standardized)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","AMR","Americas","","MEX","Mexico","","","","","","","","17","17.01516","","","","",""
"AIR_5","Ambient air pollution attributable deaths (per 100 000)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2259","PUBLISHED","Published","","2012","2012","","EUR","Europe","","MCO","Monaco","","","","","","","","20","20.35341","","","","",""
